Train=True,epoch,epoch_examples,sample=(batch_idx * len(data)),loss,lr,rc
train,1,9000,1.22268,None,[0.0001],None
train,1,9222,1.21002,None,[0.0001],None
train,1,9444,1.19175,None,[0.0001],None
train,1,9666,1.04734,None,[0.0001],None
train,1,9888,1.03435,None,[0.0001],None
train,1,10110,0.979081,None,[0.0001],None
train,1,10332,1.00233,None,[0.0001],None
train,1,10554,0.991795,None,[0.0001],None
train,1,10776,1.03562,None,[0.0001],None
train,1,10998,1.00927,None,[0.0001],None
train,1,11220,1.10524,None,[0.0001],None
train,1,11442,1.06057,None,[0.0001],None
train,1,11664,0.993928,None,[0.0001],None
train,1,11886,0.991849,None,[0.0001],None
train,1,12108,0.994929,None,[0.0001],None
train,1,12330,0.993588,None,[0.0001],None
train,1,12552,0.990625,None,[0.0001],None
train,1,12774,0.994525,None,[0.0001],None
train,1,12996,1.00804,None,[0.0001],None
train,1,13218,1.00956,None,[0.0001],None
train,1,13440,1.00577,None,[0.0001],None
train,1,13662,0.994675,None,[0.0001],None
train,1,13884,0.993372,None,[0.0001],None
train,1,14106,0.97431,None,[0.0001],None
train,1,14328,0.980053,None,[0.0001],None
train,1,14550,0.985787,None,[0.0001],None
train,1,14772,0.96145,None,[0.0001],None
train,1,14994,0.978103,None,[0.0001],None
train,1,15216,0.99395,None,[0.0001],None
train,1,15438,0.984024,None,[0.0001],None
train,1,15660,0.982289,None,[0.0001],None
train,1,15882,0.967025,None,[0.0001],None
train,1,16104,0.995554,None,[0.0001],None
train,1,16326,0.967977,None,[0.0001],None
train,1,16548,0.965399,None,[0.0001],None
train,1,16770,0.968522,None,[0.0001],None
train,1,16992,0.969966,None,[0.0001],None
train,1,17214,0.930492,None,[0.0001],None
train,1,17436,0.976499,None,[0.0001],None
train,1,17658,0.950858,None,[0.0001],None
train,1,17658,0.950858,0.166552757,[0.0001],None
val,1,None,1.069902056,0.298227485,None,0.267308005
train,2,18000,0.967854,None,[0.0001],None
train,2,18222,0.973657,None,[0.0001],None
train,2,18444,0.951601,None,[0.0001],None
train,2,18666,0.968738,None,[0.0001],None
train,2,18888,0.94698,None,[0.0001],None
train,2,19110,0.96129,None,[0.0001],None
train,2,19332,0.928716,None,[0.0001],None
train,2,19554,0.957338,None,[0.0001],None
train,2,19776,0.950986,None,[0.0001],None
train,2,19998,0.930184,None,[0.0001],None
train,2,20220,0.938311,None,[0.0001],None
train,2,20442,0.929827,None,[0.0001],None
train,2,20664,0.93146,None,[0.0001],None
train,2,20886,0.964347,None,[0.0001],None
train,2,21108,0.927692,None,[0.0001],None
train,2,21330,0.938889,None,[0.0001],None
train,2,21552,0.900724,None,[0.0001],None
train,2,21774,0.940247,None,[0.0001],None
train,2,21996,0.894263,None,[0.0001],None
train,2,22218,0.903347,None,[0.0001],None
train,2,22440,0.916879,None,[0.0001],None
train,2,22662,0.927921,None,[0.0001],None
train,2,22884,0.9052,None,[0.0001],None
train,2,23106,0.915238,None,[0.0001],None
train,2,23328,0.910621,None,[0.0001],None
train,2,23550,0.869576,None,[0.0001],None
train,2,23772,0.898098,None,[0.0001],None
train,2,23994,0.928252,None,[0.0001],None
train,2,24216,0.895389,None,[0.0001],None
train,2,24438,0.896177,None,[0.0001],None
train,2,24660,0.876312,None,[0.0001],None
train,2,24882,0.862216,None,[0.0001],None
train,2,25104,0.878509,None,[0.0001],None
train,2,25326,0.846632,None,[0.0001],None
train,2,25548,0.887751,None,[0.0001],None
train,2,25770,0.818318,None,[0.0001],None
train,2,25992,0.842194,None,[0.0001],None
train,2,26214,0.852108,None,[0.0001],None
train,2,26436,0.835447,None,[0.0001],None
train,2,26658,0.8268,None,[0.0001],None
train,2,26658,0.8268,0.248600684,[0.0001],None
val,2,None,0.833187813,0.373589585,None,0.208129439
train,3,27000,0.828881,None,[0.0001],None
train,3,27222,0.82862,None,[0.0001],None
train,3,27444,0.827231,None,[0.0001],None
train,3,27666,0.831585,None,[0.0001],None
train,3,27888,0.91828,None,[0.0001],None
train,3,28110,0.813983,None,[0.0001],None
train,3,28332,0.86116,None,[0.0001],None
train,3,28554,0.837819,None,[0.0001],None
train,3,28776,0.907721,None,[0.0001],None
train,3,28998,0.811366,None,[0.0001],None
train,3,29220,0.853181,None,[0.0001],None
train,3,29442,0.895945,None,[0.0001],None
train,3,29664,0.864348,None,[0.0001],None
train,3,29886,0.810756,None,[0.0001],None
train,3,30108,0.78333,None,[0.0001],None
train,3,30330,0.895449,None,[0.0001],None
train,3,30552,0.816134,None,[0.0001],None
train,3,30774,0.859438,None,[0.0001],None
train,3,30996,0.853635,None,[0.0001],None
train,3,31218,0.798361,None,[0.0001],None
train,3,31440,0.761193,None,[0.0001],None
train,3,31662,0.80685,None,[0.0001],None
train,3,31884,0.826022,None,[0.0001],None
train,3,32106,0.830036,None,[0.0001],None
train,3,32328,0.91691,None,[0.0001],None
train,3,32550,0.681839,None,[0.0001],None
train,3,32772,0.759753,None,[0.0001],None
train,3,32994,0.741294,None,[0.0001],None
train,3,33216,0.839616,None,[0.0001],None
train,3,33438,0.814373,None,[0.0001],None
train,3,33660,0.797558,None,[0.0001],None
train,3,33882,0.763335,None,[0.0001],None
train,3,34104,0.746926,None,[0.0001],None
train,3,34326,0.765862,None,[0.0001],None
train,3,34548,0.831414,None,[0.0001],None
train,3,34770,0.777486,None,[0.0001],None
train,3,34992,0.748109,None,[0.0001],None
train,3,35214,0.766686,None,[0.0001],None
train,3,35436,0.730391,None,[0.0001],None
train,3,35658,0.826898,None,[0.0001],None
train,3,35658,0.826898,0.381624563,[0.0001],None
val,3,None,0.782255122,0.417878818,None,0.19539626
train,4,36000,0.836669,None,[0.0001],None
train,4,36222,0.685713,None,[0.0001],None
train,4,36444,0.734021,None,[0.0001],None
train,4,36666,0.762911,None,[0.0001],None
train,4,36888,0.875006,None,[0.0001],None
train,4,37110,0.745131,None,[0.0001],None
train,4,37332,0.718617,None,[0.0001],None
train,4,37554,0.891057,None,[0.0001],None
train,4,37776,0.756345,None,[0.0001],None
train,4,37998,0.797751,None,[0.0001],None
train,4,38220,0.805837,None,[0.0001],None
train,4,38442,0.726303,None,[0.0001],None
train,4,38664,0.847114,None,[0.0001],None
train,4,38886,0.826428,None,[0.0001],None
train,4,39108,0.792759,None,[0.0001],None
train,4,39330,0.768999,None,[0.0001],None
train,4,39552,0.820048,None,[0.0001],None
train,4,39774,0.729867,None,[0.0001],None
train,4,39996,0.839431,None,[0.0001],None
train,4,40218,0.737643,None,[0.0001],None
train,4,40440,0.790418,None,[0.0001],None
train,4,40662,0.801467,None,[0.0001],None
train,4,40884,0.818482,None,[0.0001],None
train,4,41106,0.813723,None,[0.0001],None
train,4,41328,0.76666,None,[0.0001],None
train,4,41550,0.718978,None,[0.0001],None
train,4,41772,0.750644,None,[0.0001],None
train,4,41994,0.827635,None,[0.0001],None
train,4,42216,0.759819,None,[0.0001],None
train,4,42438,0.836582,None,[0.0001],None
train,4,42660,0.793532,None,[0.0001],None
train,4,42882,0.794885,None,[0.0001],None
train,4,43104,0.704737,None,[0.0001],None
train,4,43326,0.651585,None,[0.0001],None
train,4,43548,0.774019,None,[0.0001],None
train,4,43770,0.797324,None,[0.0001],None
train,4,43992,0.73375,None,[0.0001],None
train,4,44214,0.729675,None,[0.0001],None
train,4,44436,0.821355,None,[0.0001],None
train,4,44658,0.770339,None,[0.0001],None
train,4,44658,0.770339,0.4159324,[0.0001],None
val,4,None,0.798113333,0.435183845,None,0.199360807
train,5,45000,0.788503,None,[0.0001],None
